llm,granularity,feature,feature_full_name,p_value,cliff_delta,effect_size,direction,human_median,llm_median,human_mean,llm_mean,significant_corrected,significant_uncorrected
claude-4-5-haiku,class,CountLine,Lines,1.1062842415026117e-28,0.08311938292315417,Negligible,↑,49.0,60.0,83.60908251489968,82.40703433224209,True,True
claude-4-5-haiku,class,CountLineBlank,Blank Lines,3.2188372553286614e-198,0.22441435120198258,Small,↑,6.0,9.0,9.153529757407874,12.720305548560397,True,True
claude-4-5-haiku,class,CountLineCode,Code Lines,7.971685267535087e-18,0.06433117056605492,Negligible,↑,32.0,38.0,57.715101150004195,52.834382607235796,True,True
claude-4-5-haiku,class,CountLineCodeDecl,Declarative Code Lines,3.628257386164082e-05,0.030885254450004708,Negligible,↑,16.0,17.0,24.103332493914213,22.356669184924034,True,True
claude-4-5-haiku,class,CountLineCodeExe,Executable Code Lines,1.792535171686811e-12,0.05273231910674701,Negligible,↑,25.0,30.0,48.72064131620918,42.629480399563505,True,True
claude-4-5-haiku,class,CountLineComment,Comment Lines,2.2421356411439906e-06,0.035267574692254035,Negligible,↑,6.0,7.0,16.845966591118945,16.98782842273147,True,True
claude-4-5-haiku,class,CountStmt,Statements,0.37526122634971837,0.006632425722769775,Negligible,↑,30.0,32.0,54.135650130109966,44.36187358348023,False,False
claude-4-5-haiku,class,CountStmtDecl,Declarative Statements,2.3618895286564536e-05,0.03161351906304056,Negligible,↑,14.0,15.0,22.26576009401494,20.573407202216067,True,True
claude-4-5-haiku,class,CountStmtExe,Executable Statements,0.056556976825422614,-0.014261951429686205,Negligible,↓,24.0,24.0,46.51145807101486,35.581717451523545,False,False
claude-4-5-haiku,class,MaxCyclomatic,Max Cyclomatic Complexity,0.8532537490651062,0.001375715846487668,Negligible,↓,4.0,4.0,5.216654075379837,4.477545538487367,False,False
claude-4-5-haiku,class,MaxCyclomaticModified,Max Modified Cyclomatic Complexity,0.8312210139182745,0.0015852077453814702,Negligible,↓,4.0,4.0,5.2148073533115085,4.477545538487367,False,False
claude-4-5-haiku,class,MaxCyclomaticStrict,Max Strict Cyclomatic Complexity,0.399528505303849,-0.006272644472306705,Negligible,↓,4.0,4.0,5.9456056408965,4.941408545286662,False,False
claude-4-5-haiku,class,MaxCyclomaticStrictModified,Max Strict Modified Cyclomatic Complexity,0.41516136452854624,-0.0060669927767325734,Negligible,↓,4.0,4.0,5.943758918828171,4.941408545286662,False,False
claude-4-5-haiku,class,MaxEssential,Max Essential Complexity,0.0035526078049499363,-0.02014512177668747,Negligible,↓,1.0,1.0,2.845882649206749,2.4458154956769915,False,True
claude-4-5-haiku,class,MaxInheritanceTree,Max Inheritance Tree,0.6059394700088869,0.001092971188490574,Negligible,↓,0.0,0.0,0.027784772937127507,0.029043901620078905,False,False
claude-4-5-haiku,class,MaxNesting,Max Nesting,0.0006978102850193605,0.024765400746108522,Negligible,↓,2.0,2.0,1.7354990346680097,1.771426173088223,False,True
claude-4-5-haiku,class,RatioCommentToCode,Comment to Code Ratio,0.8658831245720986,0.0012604040532282056,Negligible,↓,0.23,0.23,0.365594728447914,0.36095022244606734,False,False
claude-4-5-haiku,class,SumCyclomatic,Sum Cyclomatic Complexity,3.4825416098105546e-13,0.05438159835448767,Negligible,↑,10.0,11.0,17.036682615629985,15.693695962394024,True,True
claude-4-5-haiku,class,SumCyclomaticModified,Sum Modified Cyclomatic Complexity,3.1727266458876604e-13,0.05447555298029407,Negligible,↑,10.0,11.0,17.03315705531772,15.693695962394024,True,True
claude-4-5-haiku,class,SumCyclomaticStrict,Sum Strict Cyclomatic Complexity,1.136020877148781e-10,0.04820490964146037,Negligible,↑,10.0,12.0,18.70418870141862,16.792579534961806,True,True
claude-4-5-haiku,class,SumCyclomaticStrictModified,Sum Strict Modified Cyclomatic Complexity,1.052098958732251e-10,0.04829181802264352,Negligible,↑,10.0,12.0,18.700663141106354,16.792579534961806,True,True
claude-4-5-haiku,class,SumEssential,Sum Essential Complexity,2.741928563928402e-10,0.047146084554414054,Negligible,↑,6.0,7.0,10.010492739024595,9.463863006799295,True,True
gpt-3-5,class,AvgCountLine,Average Lines,0.0,-0.5139181968626187,Large,↓,8.0,3.0,9.901536136993201,4.1021573071434565,True,True
gpt-3-5,class,AvgCountLineBlank,Average Blank Lines,0.0,-0.18460736728984853,Small,↓,0.0,0.0,0.2872492235373122,0.028540250146898347,True,True
gpt-3-5,class,AvgCountLineCode,Average Code Lines,0.0,-0.567262461176161,Large,↓,6.0,2.0,7.844203810962814,3.0266935280785696,True,True
gpt-3-5,class,AvgCountLineComment,Average Comment Lines,2.442137823333909e-176,-0.19200069583074902,Small,↓,1.0,0.0,1.8018970872156468,1.0627885503231764,True,True
gpt-3-5,class,AvgCyclomatic,Average Cyclomatic Complexity,0.0,-0.4781595623363259,Large,↓,2.0,1.0,2.403928481490808,1.1636867287836816,True,True
gpt-3-5,class,AvgCyclomaticModified,Average Modified Cyclomatic Complexity,0.0,-0.47813700730728687,Large,↓,2.0,1.0,2.403340888105431,1.1636867287836816,True,True
gpt-3-5,class,AvgCyclomaticStrict,Average Strict Cyclomatic Complexity,0.0,-0.4939696159872075,Large,↓,2.0,1.0,2.6356921010660623,1.2028036598673717,True,True
gpt-3-5,class,AvgCyclomaticStrictModified,Average Strict Modified Cyclomatic Complexity,0.0,-0.49394570807920085,Large,↓,2.0,1.0,2.635104507680685,1.2028036598673717,True,True
gpt-3-5,class,AvgEssential,Average Essential Complexity,0.0,-0.22633185984379645,Small,↓,1.0,1.0,1.4109796021153362,1.001427012507345,True,True
gpt-3-5,class,CountClassBase,Base Classes,0.3654991854377899,0.001931417928700164,Negligible,↓,0.0,0.0,0.028540250146898347,0.030554856039620583,False,False
gpt-3-5,class,CountClassCoupled,Coupled Classes,0.0,-0.32449639837900013,Small,↓,2.0,1.0,2.6946193234281877,1.2455300931755224,True,True
